Pfam	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
PF05013	N-formylglutamate amidohydrolase	1	1	0	0	3	1	0	0	0	0	0	2	1	3	4	1	1	0	0	0	4	3	0	3	1	2	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	2
PF02310	B12 binding domain	3	3	2	1	3	3	1	1	1	1	3	3	2	2	5	1	3	2	3	1	3	2	1	3	3	3	3	1	3	1	1	1	2	2	2	3	1	1	1	3	2	3
PF02607	B12 binding domain	1	0	1	1	1	1	1	1	1	1	2	1	0	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1
PF01970	Tripartite tricarboxylate transporter TctA family	12	1	0	0	2	0	0	0	0	0	0	0	0	3	3	0	10	0	0	0	3	2	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PF07331	Tripartite tricarboxylate transporter TctB family	12	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	10	1	0	0	2	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2
PF16976	Flp pilus assembly protein RcpC/CpaB	1	0	0	1	1	1	0	0	0	1	0	2	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PF01261	Xylose isomerase-like TIM barrel	3	3	1	1	1	0	0	1	0	1	0	1	0	1	9	0	3	1	0	1	8	1	1	1	0	12	4	1	0	0	0	2	1	1	1	0	0	1	0	4	0	9
PF00817	impB/mucB/samB family	2	0	2	2	2	4	2	1	2	2	2	3	0	2	3	1	2	2	2	2	2	2	1	2	1	2	2	3	3	2	3	2	2	2	2	3	2	3	3	2	2	2
PF11799	impB/mucB/samB family C-terminal domain	2	0	1	2	2	4	2	0	1	2	2	3	0	2	3	1	2	1	2	2	2	2	0	2	1	2	2	3	3	1	2	2	1	2	2	3	1	3	3	2	1	2
PF13932	tRNA modifying enzyme MnmG/GidA C-terminal helical bundle	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1
